chars,psnr,rmse
266,77.4743,0.034106
267,77.4581,0.034169
268,77.4420,0.034233
269,77.4219,0.034312
270,77.4059,0.034375
271,77.3900,0.034438
272,77.3781,0.034485
273,77.3742,0.034501
274,77.3623,0.034548
275,77.3465,0.034611
276,77.3348,0.034658
277,77.3230,0.034705
278,77.3074,0.034767
279,77.2996,0.034799
280,77.2996,0.034799
281,77.2802,0.034876
282,77.2608,0.034954
283,77.2531,0.034985
284,77.2416,0.035032
285,77.2224,0.035109
286,77.2110,0.035155
287,77.1920,0.035232
288,77.1768,0.035294
289,77.1542,0.035386
290,77.1391,0.035447
291,77.1279,0.035493
292,77.1092,0.035570
293,77.1018,0.035600
294,77.0795,0.035691
295,77.0648,0.035752
296,77.0574,0.035782
297,77.0501,0.035813
298,77.0317,0.035888
299,77.0171,0.035949
300,77.0135,0.035964
301,76.9989,0.036024
302,76.9880,0.036069
303,76.9772,0.036114
304,76.9592,0.036189
305,76.9376,0.036279
306,76.9269,0.036324
307,76.9233,0.036339
308,76.9162,0.036369
309,76.9020,0.036429
310,76.8878,0.036488
311,76.8701,0.036562
312,76.8490,0.036651
313,76.8385,0.036696
314,76.8315,0.036725
315,76.8176,0.036784
316,76.8037,0.036843
317,76.7863,0.036917
318,76.7725,0.036975
319,76.7588,0.037034
320,76.7485,0.037078
321,76.7314,0.037151
322,76.7143,0.037224
323,76.7007,0.037282
324,76.6771,0.037384
325,76.6602,0.037457
326,76.6401,0.037543
327,76.6335,0.037572
328,76.6201,0.037630
329,76.6035,0.037702
330,76.5837,0.037788
331,76.5672,0.037860
332,76.5442,0.037960
333,76.5377,0.037989
334,76.5344,0.038003
335,76.5247,0.038046
336,76.5182,0.038074
337,76.5052,0.038131
338,76.4890,0.038202
339,76.4761,0.038259
340,76.4600,0.038330
341,76.4568,0.038344
342,76.4504,0.038372
343,76.4376,0.038429
344,76.4217,0.038499
345,76.4154,0.038528
346,76.3995,0.038598
347,76.3869,0.038654
348,76.3680,0.038738
349,76.3492,0.038822
350,76.3305,0.038906
351,76.3243,0.038934
352,76.3118,0.038990
353,76.3026,0.039031
354,76.2871,0.039101
355,76.2779,0.039142
356,76.2656,0.039198
357,76.2595,0.039225
358,76.2503,0.039267
359,76.2381,0.039322
360,76.2289,0.039363
361,76.2138,0.039432
362,76.1986,0.039501
363,76.1836,0.039570
364,76.1685,0.039638
365,76.1566,0.039693
366,76.1476,0.039734
367,76.1387,0.039775
368,76.1208,0.039857
369,76.1060,0.039925
370,76.0972,0.039965
371,76.0824,0.040033
372,76.0677,0.040101
373,76.0590,0.040141
374,76.0531,0.040168
375,76.0444,0.040209
376,76.0298,0.040276
377,76.0211,0.040317
378,76.0037,0.040397
379,75.9980,0.040424
380,75.9807,0.040505
381,75.9750,0.040531
382,75.9635,0.040585
383,75.9578,0.040612
384,75.9435,0.040678
385,75.9322,0.040732
386,75.9151,0.040812
387,75.9038,0.040865
388,75.8926,0.040918
389,75.8813,0.040971
390,75.8757,0.040997
391,75.8673,0.041037
392,75.8561,0.041090
393,75.8422,0.041156
394,75.8366,0.041182
395,75.8255,0.041235
396,75.8200,0.041261
397,75.8034,0.041340
398,75.7924,0.041392
399,75.7787,0.041458
400,75.7732,0.041484
401,75.7705,0.041497
402,75.7623,0.041536
403,75.7513,0.041588
404,75.7377,0.041654
405,75.7242,0.041719
406,75.7188,0.041745
407,75.7134,0.041771
408,75.7026,0.041823
409,75.6918,0.041874
410,75.6811,0.041926
411,75.6677,0.041991
412,75.6544,0.042055
413,75.6411,0.042120
414,75.6331,0.042159
415,75.6251,0.042197
416,75.6251,0.042197
417,75.6146,0.042249
418,75.5961,0.042338
419,75.5804,0.042415
420,75.5673,0.042479
421,75.5543,0.042543
422,75.5413,0.042607
423,75.5283,0.042670
424,75.5102,0.042759
425,75.5025,0.042797
426,75.4922,0.042848
427,75.4820,0.042898
428,75.4717,0.042949
429,75.4641,0.042987
430,75.4539,0.043037
431,75.4437,0.043088
432,75.4285,0.043163
433,75.4184,0.043213
434,75.4058,0.043276
435,75.3958,0.043326
436,75.3882,0.043364
437,75.3807,0.043401
438,75.3757,0.043426
439,75.3682,0.043464
440,75.3608,0.043501
441,75.3483,0.043564
442,75.3384,0.043613
443,75.3359,0.043626
444,75.3310,0.043651
445,75.3186,0.043713
446,75.3088,0.043762
447,75.3039,0.043787
448,75.2940,0.043837
449,75.2867,0.043874
450,75.2745,0.043936
451,75.2647,0.043985
452,75.2550,0.044034
453,75.2453,0.044084
454,75.2332,0.044145
455,75.2283,0.044170
456,75.2235,0.044194
457,75.2115,0.044256
458,75.2018,0.044305
459,75.1875,0.044378
460,75.1755,0.044439
461,75.1660,0.044488
462,75.1493,0.044573
463,75.1422,0.044610
464,75.1304,0.044670
465,75.1257,0.044695
466,75.1210,0.044719
467,75.1139,0.044755
468,75.0998,0.044828
469,75.0928,0.044864
470,75.0834,0.044913
471,75.0741,0.044961
472,75.0671,0.044997
473,75.0532,0.045069
474,75.0416,0.045130
475,75.0300,0.045190
476,75.0231,0.045226
477,75.0116,0.045286
478,75.0001,0.045345
479,74.9887,0.045405
480,74.9841,0.045429
481,74.9704,0.045501
482,74.9613,0.045548
483,74.9500,0.045608
484,74.9364,0.045679
485,74.9342,0.045691
486,74.9252,0.045739
487,74.9184,0.045774
488,74.9094,0.045821
489,74.9005,0.045869
490,74.8893,0.045928
491,74.8826,0.045963
492,74.8737,0.046011
493,74.8670,0.046046
494,74.8492,0.046140
495,74.8448,0.046164
496,74.8404,0.046187
497,74.8316,0.046234
498,74.8184,0.046304
499,74.8162,0.046316
500,74.8118,0.046340
501,74.8008,0.046398
502,74.7921,0.046445
503,74.7833,0.046491
504,74.7746,0.046538
505,74.7638,0.046596
506,74.7508,0.046666
507,74.7508,0.046666
508,74.7356,0.046748
509,74.7270,0.046794
510,74.7184,0.046840
511,74.7077,0.046898
512,74.6991,0.046944
513,74.6885,0.047002
514,74.6757,0.047071
515,74.6672,0.047117
516,74.6566,0.047175
517,74.6502,0.047209
518,74.6397,0.047267
519,74.6312,0.047313
520,74.6291,0.047324
521,74.6165,0.047393
522,74.6040,0.047462
523,74.5956,0.047507
524,74.5893,0.047542
525,74.5768,0.047610
526,74.5706,0.047644
527,74.5582,0.047712
528,74.5458,0.047781
529,74.5375,0.047826
530,74.5252,0.047894
531,74.5231,0.047905
532,74.5149,0.047951
533,74.5088,0.047985
534,74.4986,0.048041
535,74.4863,0.048109
536,74.4822,0.048131
537,74.4762,0.048165
538,74.4680,0.048210
539,74.4599,0.048255
540,74.4539,0.048289
541,74.4438,0.048345
542,74.4357,0.048390
543,74.4257,0.048446
544,74.4156,0.048502
545,74.4016,0.048580
546,74.3956,0.048614
547,74.3857,0.048669
548,74.3718,0.048747
549,74.3619,0.048803
550,74.3560,0.048836
551,74.3461,0.048892
552,74.3402,0.048925
553,74.3323,0.048969
554,74.3245,0.049014
555,74.3166,0.049058
556,74.3107,0.049091
557,74.3049,0.049124
558,74.2990,0.049157
559,74.2912,0.049202
560,74.2835,0.049246
561,74.2796,0.049268
562,74.2718,0.049312
563,74.2621,0.049367
564,74.2563,0.049400
565,74.2486,0.049444
566,74.2409,0.049487
567,74.2351,0.049520
568,74.2255,0.049575
569,74.2141,0.049641
570,74.2045,0.049695
571,74.1988,0.049728
572,74.1931,0.049761
573,74.1855,0.049804
574,74.1798,0.049837
575,74.1684,0.049902
576,74.1646,0.049924
577,74.1552,0.049978
578,74.1476,0.050022
579,74.1420,0.050054
580,74.1326,0.050108
581,74.1270,0.050141
582,74.1195,0.050184
583,74.1120,0.050227
584,74.1045,0.050271
585,74.0971,0.050314
586,74.0896,0.050357
587,74.0841,0.050389
588,74.0785,0.050421
589,74.0692,0.050475
590,74.0582,0.050540
591,74.0489,0.050593
592,74.0398,0.050647
593,74.0324,0.050690
594,74.0233,0.050743
595,74.0159,0.050786
596,74.0032,0.050861
597,73.9959,0.050903
598,73.9904,0.050935
599,73.9832,0.050978
600,73.9705,0.051052
601,73.9651,0.051084
602,73.9561,0.051137
603,73.9507,0.051169
604,73.9435,0.051211
605,73.9363,0.051254
606,73.9255,0.051317
607,73.9202,0.051349
608,73.9112,0.051402
609,73.9059,0.051433
610,73.8934,0.051507
611,73.8863,0.051549
612,73.8828,0.051570
613,73.8704,0.051644
614,73.8633,0.051686
615,73.8545,0.051738
616,73.8493,0.051770
617,73.8422,0.051812
618,73.8387,0.051833
619,73.8317,0.051875
620,73.8177,0.051958
621,73.8107,0.052000
622,73.8003,0.052062
623,73.7968,0.052083
624,73.7882,0.052135
625,73.7795,0.052187
626,73.7726,0.052229
627,73.7674,0.052260
628,73.7605,0.052302
629,73.7588,0.052312
630,73.7571,0.052322
631,73.7467,0.052385
632,73.7433,0.052405
633,73.7382,0.052436
634,73.7364,0.052447
635,73.7279,0.052498
636,73.7228,0.052529
637,73.7125,0.052591
638,73.7057,0.052633
639,73.6989,0.052674
640,73.6904,0.052725
641,73.6837,0.052766
642,73.6752,0.052818
643,73.6634,0.052890
644,73.6600,0.052910
645,73.6499,0.052972
646,73.6466,0.052992
647,73.6365,0.053053
648,73.6315,0.053084
649,73.6232,0.053135
650,73.6165,0.053176
651,73.6098,0.053217
652,73.6082,0.053227
653,73.6015,0.053268
654,73.5949,0.053309
655,73.5866,0.053359
656,73.5849,0.053370
657,73.5800,0.053400
658,73.5750,0.053430
659,73.5684,0.053471
660,73.5569,0.053542
661,73.5536,0.053562
662,73.5487,0.053593
663,73.5405,0.053643
664,73.5323,0.053694
665,73.5209,0.053765
666,73.5144,0.053805
667,73.5079,0.053845
668,73.5030,0.053875
669,73.4965,0.053916
670,73.4933,0.053936
671,73.4900,0.053956
672,73.4836,0.053996
673,73.4803,0.054016
674,73.4706,0.054076
675,73.4610,0.054137
676,73.4530,0.054187
677,73.4465,0.054227
678,73.4401,0.054267
679,73.4305,0.054327
680,73.4226,0.054377
681,73.4178,0.054407
682,73.4130,0.054436
683,73.4082,0.054466
684,73.4019,0.054506
685,73.3956,0.054546
686,73.3876,0.054596
687,73.3813,0.054635
688,73.3766,0.054665
689,73.3719,0.054695
690,73.3671,0.054725
691,73.3608,0.054764
692,73.3530,0.054814
693,73.3514,0.054824
694,73.3452,0.054863
695,73.3389,0.054903
696,73.3342,0.054932
697,73.3264,0.054982
698,73.3155,0.055051
699,73.3062,0.055110
700,73.2984,0.055159
701,73.2907,0.055208
702,73.2830,0.055257
703,73.2768,0.055297
704,73.2691,0.055346
705,73.2630,0.055385
706,73.2584,0.055414
707,73.2507,0.055463
708,73.2476,0.055483
709,73.2430,0.055512
710,73.2369,0.055551
711,73.2308,0.055590
712,73.2293,0.055600
